Pattern,ErrorRate,CorruptionLevel,num_neurons,theta
45,0.28052,0.0,100,0.2
45,0.28712000000000004,0.1,100,0.2
46,0.2898086956521739,0.0,100,0.2
46,0.2947065217391305,0.1,100,0.2
47,0.2822085106382978,0.0,100,0.2
47,0.2906595744680851,0.1,100,0.2
48,0.28439583333333335,0.0,100,0.2
48,0.29285208333333335,0.1,100,0.2
49,0.28867346938775507,0.0,100,0.2
49,0.29546938775510206,0.1,100,0.2
1,0.0,0.0,100,0.4
1,0.0,0.1,100,0.4
2,0.0,0.0,100,0.4
2,0.0,0.1,100,0.4
3,0.0,0.0,100,0.4
3,0.0,0.1,100,0.4
4,0.0,0.0,100,0.4
4,0.0,0.1,100,0.4
5,0.0,0.0,100,0.4
5,0.0,0.1,100,0.4
6,0.0,0.0,100,0.4
6,0.0,0.1,100,0.4
7,0.0,0.0,100,0.4
7,0.00011428571428571428,0.1,100,0.4
8,0.0001,0.0,100,0.4
8,0.00045,0.1,100,0.4
9,0.0009777777777777777,0.0,100,0.4
9,0.0012333333333333335,0.1,100,0.4
10,0.0013800000000000002,0.0,100,0.4
10,0.00167,0.1,100,0.4
11,0.0030181818181818183,0.0,100,0.4
11,0.0029454545454545454,0.1,100,0.4
12,0.007683333333333333,0.0,100,0.4
12,0.007308333333333331,0.1,100,0.4
13,0.008892307692307692,0.0,100,0.4
13,0.01256923076923077,0.1,100,0.4
14,0.00942857142857143,0.0,100,0.4
14,0.01772857142857143,0.1,100,0.4
15,0.015066666666666666,0.0,100,0.4
15,0.023653333333333332,0.1,100,0.4
16,0.023249999999999996,0.0,100,0.4
16,0.037131250000000005,0.1,100,0.4
17,0.029988235294117645,0.0,100,0.4
17,0.045158823529411765,0.1,100,0.4
18,0.042922222222222216,0.0,100,0.4
18,0.05754444444444444,0.1,100,0.4
19,0.05437894736842105,0.0,100,0.4
19,0.07197894736842106,0.1,100,0.4
20,0.06025,0.0,100,0.4
20,0.08280000000000001,0.1,100,0.4
21,0.08695238095238096,0.0,100,0.4
21,0.10625238095238096,0.1,100,0.4
22,0.09068181818181818,0.0,100,0.4
22,0.11384545454545454,0.1,100,0.4
23,0.1182,0.0,100,0.4
23,0.1396739130434783,0.1,100,0.4
24,0.12599166666666664,0.0,100,0.4
24,0.1506583333333333,0.1,100,0.4
25,0.13591199999999998,0.0,100,0.4
25,0.16427199999999995,0.1,100,0.4
26,0.1609153846153846,0.0,100,0.4
26,0.18230000000000002,0.1,100,0.4
27,0.16994814814814813,0.0,100,0.4
27,0.1928222222222222,0.1,100,0.4
28,0.17700714285714286,0.0,100,0.4
28,0.20352499999999998,0.1,100,0.4
29,0.20406206896551723,0.0,100,0.4
29,0.21644482758620687,0.1,100,0.4
30,0.21010666666666666,0.0,100,0.4
30,0.22385333333333335,0.1,100,0.4
31,0.23034193548387097,0.0,100,0.4
31,0.2413225806451613,0.1,100,0.4
32,0.22986250000000003,0.0,100,0.4
32,0.24656875,0.1,100,0.4
33,0.23486666666666667,0.0,100,0.4
33,0.25039696969696973,0.1,100,0.4
34,0.24759411764705885,0.0,100,0.4
34,0.2630558823529412,0.1,100,0.4
35,0.24957714285714283,0.0,100,0.4
35,0.2608428571428571,0.1,100,0.4
36,0.2552666666666667,0.0,100,0.4
36,0.26988055555555557,0.1,100,0.4
37,0.26623783783783783,0.0,100,0.4
37,0.27467027027027036,0.1,100,0.4
38,0.26503157894736845,0.0,100,0.4
38,0.2738736842105263,0.1,100,0.4
39,0.26176923076923075,0.0,100,0.4
39,0.2722461538461538,0.1,100,0.4
40,0.26869,0.0,100,0.4
40,0.27779000000000004,0.1,100,0.4
41,0.2785073170731707,0.0,100,0.4
41,0.28335365853658534,0.1,100,0.4
42,0.2811190476190476,0.0,100,0.4
42,0.2885642857142857,0.1,100,0.4
43,0.2841813953488372,0.0,100,0.4
43,0.286453488372093,0.1,100,0.4
44,0.28353636363636364,0.0,100,0.4
44,0.28959545454545454,0.1,100,0.4
45,0.2833377777777778,0.0,100,0.4
45,0.2875888888888889,0.1,100,0.4
46,0.28313913043478256,0.0,100,0.4
46,0.2901760869565217,0.1,100,0.4
47,0.2858510638297872,0.0,100,0.4
47,0.29559361702127657,0.1,100,0.4
48,0.28881666666666667,0.0,100,0.4
48,0.2937416666666666,0.1,100,0.4
49,0.29200816326530615,0.0,100,0.4
49,0.29717346938775513,0.1,100,0.4
1,0.0,0.0,100,0.8
1,0.0,0.1,100,0.8
2,0.0,0.0,100,0.8
2,0.0,0.1,100,0.8
3,0.0,0.0,100,0.8
3,0.0,0.1,100,0.8
4,0.0,0.0,100,0.8
4,0.0,0.1,100,0.8
5,0.0,0.0,100,0.8
5,0.0,0.1,100,0.8
6,3.333333333333333e-05,0.0,100,0.8
6,8.333333333333333e-05,0.1,100,0.8
7,0.0,0.0,100,0.8
7,0.0001714285714285714,0.1,100,0.8
8,0.0009750000000000001,0.0,100,0.8
8,0.0008750000000000001,0.1,100,0.8
9,0.00037777777777777777,0.0,100,0.8
9,0.00043333333333333337,0.1,100,0.8
10,0.0017,0.0,100,0.8
10,0.00221,0.1,100,0.8
11,0.0030909090909090908,0.0,100,0.8
11,0.005199999999999999,0.1,100,0.8
12,0.006699999999999999,0.0,100,0.8
12,0.012083333333333337,0.1,100,0.8
13,0.007938461538461538,0.0,100,0.8
13,0.009346153846153848,0.1,100,0.8
14,0.012057142857142857,0.0,100,0.8
14,0.017978571428571427,0.1,100,0.8
15,0.018453333333333335,0.0,100,0.8
15,0.024739999999999995,0.1,100,0.8
16,0.023662500000000003,0.0,100,0.8
16,0.033425,0.1,100,0.8
17,0.03161176470588235,0.0,100,0.8
17,0.04405882352941177,0.1,100,0.8
18,0.04195555555555556,0.0,100,0.8
18,0.05897222222222221,0.1,100,0.8
19,0.06147368421052632,0.0,100,0.8
19,0.07506842105263159,0.1,100,0.8
20,0.07199000000000001,0.0,100,0.8
20,0.09127,0.1,100,0.8
21,0.09245714285714285,0.0,100,0.8
21,0.10673333333333333,0.1,100,0.8
22,0.1072,0.0,100,0.8
